nct_id,mesh_term,mesh_type
NCT00120406,Peripheral Vascular Diseases,mesh-list
NCT00120406,Peripheral Arterial Disease,mesh-list
NCT00120406,Cardiovascular Diseases,mesh-ancestor
NCT00120406,Atherosclerosis,mesh-ancestor
NCT00120406,Arteriosclerosis,mesh-ancestor
NCT00120406,Arterial Occlusive Diseases,mesh-ancestor
NCT00133978,Critical Illness,mesh-list
NCT00133978,Multiple Organ Failure,mesh-list
NCT00133978,Disease Attributes,mesh-ancestor
NCT00133978,Pathologic Processes,mesh-ancestor
NCT00133978,Shock,mesh-ancestor
NCT00211237,"Fractures, Bone",mesh-list
NCT00211237,Spinal Fractures,mesh-list
NCT00211237,Wounds and Injuries,mesh-ancestor
NCT00211237,Spinal Injuries,mesh-ancestor
NCT00211237,Back Injuries,mesh-ancestor
NCT00224770,Cerebral Hemorrhage,mesh-list
NCT00224770,Hemorrhage,mesh-list
NCT00224770,Pathologic Processes,mesh-ancestor
NCT00224770,Intracranial Hemorrhages,mesh-ancestor
NCT00224770,Cerebrovascular Disorders,mesh-ancestor
NCT00224770,Brain Diseases,mesh-ancestor
NCT00224770,Central Nervous System Diseases,mesh-ancestor
NCT00224770,Nervous System Diseases,mesh-ancestor
NCT00224770,Vascular Diseases,mesh-ancestor
NCT00224770,Cardiovascular Diseases,mesh-ancestor
NCT00262119,Heart Failure,mesh-list
NCT00262119,Atrial Fibrillation,mesh-list
NCT00262119,Heart Diseases,mesh-ancestor
NCT00262119,Cardiovascular Diseases,mesh-ancestor
NCT00262119,"Arrhythmias, Cardiac",mesh-ancestor
NCT00262119,Pathologic Processes,mesh-ancestor
NCT00298363,Hepatitis A,mesh-list
NCT00298363,Hepatitis B,mesh-list
NCT00298363,"Hepatitis B, Chronic",mesh-list
NCT00298363,Hepatitis,mesh-list
NCT00298363,"Hepatitis, Chronic",mesh-list
NCT00298363,Liver Diseases,mesh-list
NCT00298363,Digestive System Diseases,mesh-ancestor
NCT00298363,"Hepatitis, Viral, Human",mesh-ancestor
NCT00298363,Virus Diseases,mesh-ancestor
NCT00298363,Infections,mesh-ancestor
NCT00298363,Enterovirus Infections,mesh-ancestor
NCT00298363,Picornaviridae Infections,mesh-ancestor
NCT00298363,RNA Virus Infections,mesh-ancestor
NCT00298363,Blood-Borne Infections,mesh-ancestor
NCT00298363,Communicable Diseases,mesh-ancestor
NCT00298363,Hepadnaviridae Infections,mesh-ancestor
NCT00298363,DNA Virus Infections,mesh-ancestor
NCT00303459,Pulmonary Arterial Hypertension,mesh-list
NCT00303459,Familial Primary Pulmonary Hypertension,mesh-list
NCT00303459,Hypertension,mesh-list
NCT00303459,Vascular Diseases,mesh-ancestor
NCT00303459,Cardiovascular Diseases,mesh-ancestor
NCT00303459,"Hypertension, Pulmonary",mesh-ancestor
NCT00303459,Lung Diseases,mesh-ancestor
NCT00303459,Respiratory Tract Diseases,mesh-ancestor
NCT00312845,Lymphoma,mesh-list
NCT00312845,"Lymphoma, Non-Hodgkin",mesh-list
NCT00312845,"Lymphoma, B-Cell",mesh-list
NCT00312845,Neoplasms by Histologic Type,mesh-ancestor
NCT00312845,Neoplasms,mesh-ancestor
NCT00312845,Lymphoproliferative Disorders,mesh-ancestor
NCT00312845,Lymphatic Diseases,mesh-ancestor
NCT00312845,Immunoproliferative Disorders,mesh-ancestor
NCT00312845,Immune System Diseases,mesh-ancestor
NCT00317642,Leukemia,mesh-list
NCT00317642,"Leukemia, Myeloid",mesh-list
NCT00317642,"Leukemia, Myeloid, Acute",mesh-list
NCT00317642,Neoplasms by Histologic Type,mesh-ancestor
NCT00317642,Neoplasms,mesh-ancestor
NCT00322101,Leukemia,mesh-list
NCT00322101,"Leukemia, Myeloid",mesh-list
NCT00322101,"Leukemia, Myeloid, Acute",mesh-list
NCT00322101,Preleukemia,mesh-list
NCT00322101,Neoplasm Metastasis,mesh-list
NCT00322101,Myelodysplastic Syndromes,mesh-list
NCT00322101,Myeloproliferative Disorders,mesh-list
NCT00322101,Myelodysplastic-Myeloproliferative Diseases,mesh-list
NCT00322101,Syndrome,mesh-list
NCT00322101,Disease,mesh-ancestor
NCT00322101,Pathologic Processes,mesh-ancestor
NCT00322101,Neoplasms by Histologic Type,mesh-ancestor
NCT00322101,Neoplasms,mesh-ancestor
NCT00322101,Bone Marrow Diseases,mesh-ancestor
NCT00322101,Hematologic Diseases,mesh-ancestor
NCT00322101,Precancerous Conditions,mesh-ancestor
NCT00322101,Neoplastic Processes,mesh-ancestor
NCT00323297,Pulmonary Arterial Hypertension,mesh-list
NCT00323297,Familial Primary Pulmonary Hypertension,mesh-list
NCT00323297,Hypertension,mesh-list
NCT00323297,Vascular Diseases,mesh-ancestor
NCT00323297,Cardiovascular Diseases,mesh-ancestor
NCT00323297,"Hypertension, Pulmonary",mesh-ancestor
NCT00323297,Lung Diseases,mesh-ancestor
NCT00323297,Respiratory Tract Diseases,mesh-ancestor
NCT00353496,Endocrine Gland Neoplasms,mesh-list
NCT00353496,Neoplasms,mesh-ancestor
NCT00353496,Neoplasms by Site,mesh-ancestor
NCT00353496,Endocrine System Diseases,mesh-ancestor
NCT00359424,Stroke,mesh-list
NCT00359424,Cerebrovascular Disorders,mesh-ancestor
NCT00359424,Brain Diseases,mesh-ancestor
NCT00359424,Central Nervous System Diseases,mesh-ancestor
NCT00359424,Nervous System Diseases,mesh-ancestor
NCT00359424,Vascular Diseases,mesh-ancestor
NCT00359424,Cardiovascular Diseases,mesh-ancestor
NCT00373425,Lung Neoplasms,mesh-list
NCT00373425,"Carcinoma, Non-Small-Cell Lung",mesh-list
NCT00373425,Neoplasms,mesh-ancestor
NCT00373425,Respiratory Tract Neoplasms,mesh-ancestor
NCT00373425,Thoracic Neoplasms,mesh-ancestor
NCT00373425,Neoplasms by Site,mesh-ancestor
NCT00373425,Lung Diseases,mesh-ancestor
NCT00373425,Respiratory Tract Diseases,mesh-ancestor
NCT00373425,"Carcinoma, Bronchogenic",mesh-ancestor
NCT00373425,Bronchial Neoplasms,mesh-ancestor
NCT00382967,Parkinsonian Disorders,mesh-list
NCT00382967,Syndrome,mesh-list
NCT00382967,Disease,mesh-ancestor
NCT00382967,Pathologic Processes,mesh-ancestor
NCT00382967,Basal Ganglia Diseases,mesh-ancestor
NCT00382967,Brain Diseases,mesh-ancestor
NCT00382967,Central Nervous System Diseases,mesh-ancestor
NCT00382967,Nervous System Diseases,mesh-ancestor
NCT00382967,Movement Disorders,mesh-ancestor
NCT00388505,Cystic Fibrosis,mesh-list
NCT00388505,Respiratory Aspiration,mesh-list
NCT00388505,Fibrosis,mesh-list
NCT00388505,Pathologic Processes,mesh-ancestor
NCT00388505,Pancreatic Diseases,mesh-ancestor
NCT00388505,Digestive System Diseases,mesh-ancestor
NCT00388505,Lung Diseases,mesh-ancestor
NCT00388505,Respiratory Tract Diseases,mesh-ancestor
NCT00388505,"Genetic Diseases, Inborn",mesh-ancestor
NCT00388505,"Infant, Newborn, Diseases",mesh-ancestor
NCT00388505,Respiration Disorders,mesh-ancestor
NCT00391443,Pulmonary Fibrosis,mesh-list
NCT00391443,Idiopathic Pulmonary Fibrosis,mesh-list
NCT00391443,Fibrosis,mesh-list
NCT00391443,Pathologic Processes,mesh-ancestor
NCT00391443,Lung Diseases,mesh-ancestor
NCT00391443,Respiratory Tract Diseases,mesh-ancestor
NCT00392054,Atrial Fibrillation,mesh-list
NCT00392054,"Arrhythmias, Cardiac",mesh-ancestor
NCT00392054,Heart Diseases,mesh-ancestor
NCT00392054,Cardiovascular Diseases,mesh-ancestor
NCT00392054,Pathologic Processes,mesh-ancestor
NCT00396981,Intracranial Aneurysm,mesh-list
NCT00396981,Aneurysm,mesh-list
NCT00396981,Vascular Diseases,mesh-ancestor
NCT00396981,Cardiovascular Diseases,mesh-ancestor
NCT00396981,Intracranial Arterial Diseases,mesh-ancestor
NCT00396981,Cerebrovascular Disorders,mesh-ancestor
NCT00396981,Brain Diseases,mesh-ancestor
NCT00396981,Central Nervous System Diseases,mesh-ancestor
NCT00396981,Nervous System Diseases,mesh-ancestor
NCT00405756,Multiple Myeloma,mesh-list
NCT00405756,"Neoplasms, Plasma Cell",mesh-list
NCT00405756,Neoplasms by Histologic Type,mesh-ancestor
NCT00405756,Neoplasms,mesh-ancestor
NCT00405756,Hemostatic Disorders,mesh-ancestor
NCT00405756,Vascular Diseases,mesh-ancestor
NCT00405756,Cardiovascular Diseases,mesh-ancestor
NCT00405756,Paraproteinemias,mesh-ancestor
NCT00405756,Blood Protein Disorders,mesh-ancestor
NCT00405756,Hematologic Diseases,mesh-ancestor
NCT00405756,Hemorrhagic Disorders,mesh-ancestor
NCT00405756,Lymphoproliferative Disorders,mesh-ancestor
NCT00405756,Immunoproliferative Disorders,mesh-ancestor
NCT00405756,Immune System Diseases,mesh-ancestor
NCT00410384,"Lupus Erythematosus, Systemic",mesh-list
NCT00410384,Connective Tissue Diseases,mesh-ancestor
NCT00410384,Autoimmune Diseases,mesh-ancestor
NCT00410384,Immune System Diseases,mesh-ancestor
NCT00412893,Mycoses,mesh-list
NCT00412893,Aspergillosis,mesh-list
NCT00412893,Invasive Fungal Infections,mesh-list
NCT00412893,Bacterial Infections and Mycoses,mesh-ancestor
NCT00412893,Infections,mesh-ancestor
NCT00418574,Ovarian Neoplasms,mesh-list
NCT00418574,"Carcinoma, Ovarian Epithelial",mesh-list
NCT00418574,Endocrine Gland Neoplasms,mesh-ancestor
NCT00418574,Neoplasms by Site,mesh-ancestor
NCT00418574,Neoplasms,mesh-ancestor
NCT00418574,Ovarian Diseases,mesh-ancestor
NCT00418574,Adnexal Diseases,mesh-ancestor
NCT00418574,"Genital Neoplasms, Female",mesh-ancestor
NCT00418574,Urogenital Neoplasms,mesh-ancestor
NCT00418574,Endocrine System Diseases,mesh-ancestor
NCT00418574,Gonadal Disorders,mesh-ancestor
NCT00418574,Carcinoma,mesh-ancestor
NCT00418574,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00418574,Neoplasms by Histologic Type,mesh-ancestor
NCT00428948,Arthrogryposis,mesh-list
NCT00428948,Kidney Diseases,mesh-list
NCT00428948,Polycystic Kidney Diseases,mesh-list
NCT00428948,"Polycystic Kidney, Autosomal Dominant",mesh-list
NCT00428948,Urologic Diseases,mesh-ancestor
NCT00428948,Joint Diseases,mesh-ancestor
NCT00428948,Musculoskeletal Diseases,mesh-ancestor
NCT00428948,Muscular Diseases,mesh-ancestor
NCT00428948,Musculoskeletal Abnormalities,mesh-ancestor
NCT00428948,Congenital Abnormalities,mesh-ancestor
NCT00428948,"Kidney Diseases, Cystic",mesh-ancestor
NCT00428948,"Abnormalities, Multiple",mesh-ancestor
NCT00428948,Ciliopathies,mesh-ancestor
NCT00428948,"Genetic Diseases, Inborn",mesh-ancestor
NCT00434161,Multiple Myeloma,mesh-list
NCT00434161,"Neoplasms, Plasma Cell",mesh-list
NCT00434161,Mucositis,mesh-list
NCT00434161,Stomatitis,mesh-list
NCT00434161,Neoplasms by Histologic Type,mesh-ancestor
NCT00434161,Neoplasms,mesh-ancestor
NCT00434161,Hemostatic Disorders,mesh-ancestor
NCT00434161,Vascular Diseases,mesh-ancestor
NCT00434161,Cardiovascular Diseases,mesh-ancestor
NCT00434161,Paraproteinemias,mesh-ancestor
NCT00434161,Blood Protein Disorders,mesh-ancestor
NCT00434161,Hematologic Diseases,mesh-ancestor
NCT00434161,Hemorrhagic Disorders,mesh-ancestor
NCT00434161,Lymphoproliferative Disorders,mesh-ancestor
NCT00434161,Immunoproliferative Disorders,mesh-ancestor
NCT00434161,Immune System Diseases,mesh-ancestor
NCT00434161,Gastroenteritis,mesh-ancestor
NCT00434161,Gastrointestinal Diseases,mesh-ancestor
NCT00434161,Digestive System Diseases,mesh-ancestor
NCT00434161,Mouth Diseases,mesh-ancestor
NCT00434161,Stomatognathic Diseases,mesh-ancestor
NCT00438451,Epilepsy,mesh-list
NCT00438451,"Epilepsies, Partial",mesh-list
NCT00438451,Brain Diseases,mesh-ancestor
NCT00438451,Central Nervous System Diseases,mesh-ancestor
NCT00438451,Nervous System Diseases,mesh-ancestor
NCT00451958,Prostatic Neoplasms,mesh-list
NCT00451958,"Genital Neoplasms, Male",mesh-ancestor
NCT00451958,Urogenital Neoplasms,mesh-ancestor
NCT00451958,Neoplasms by Site,mesh-ancestor
NCT00451958,Neoplasms,mesh-ancestor
NCT00451958,Prostatic Diseases,mesh-ancestor
NCT00456092,Arthritis,mesh-list
NCT00456092,"Arthritis, Psoriatic",mesh-list
NCT00456092,Joint Diseases,mesh-ancestor
NCT00456092,Musculoskeletal Diseases,mesh-ancestor
NCT00456092,Spondylarthropathies,mesh-ancestor
NCT00456092,Spondylarthritis,mesh-ancestor
NCT00456092,Spondylitis,mesh-ancestor
NCT00456092,Spinal Diseases,mesh-ancestor
NCT00456092,Bone Diseases,mesh-ancestor
NCT00456092,Psoriasis,mesh-ancestor
NCT00456092,"Skin Diseases, Papulosquamous",mesh-ancestor
NCT00456092,Skin Diseases,mesh-ancestor
NCT00464204,Sepsis,mesh-list
NCT00464204,Toxemia,mesh-list
NCT00464204,Infections,mesh-ancestor
NCT00464204,Systemic Inflammatory Response Syndrome,mesh-ancestor
NCT00464204,Inflammation,mesh-ancestor
NCT00464204,Pathologic Processes,mesh-ancestor
NCT00479557,Alzheimer Disease,mesh-list
NCT00479557,Dementia,mesh-ancestor
NCT00479557,Brain Diseases,mesh-ancestor
NCT00479557,Central Nervous System Diseases,mesh-ancestor
NCT00479557,Nervous System Diseases,mesh-ancestor
NCT00479557,Tauopathies,mesh-ancestor
NCT00479557,Neurodegenerative Diseases,mesh-ancestor
NCT00479557,Neurocognitive Disorders,mesh-ancestor
NCT00479557,Mental Disorders,mesh-ancestor
NCT00480077,Heart Failure,mesh-list
NCT00480077,Heart Diseases,mesh-ancestor
NCT00480077,Cardiovascular Diseases,mesh-ancestor
NCT00530348,Multiple Sclerosis,mesh-list
NCT00530348,"Multiple Sclerosis, Relapsing-Remitting",mesh-list
NCT00530348,Sclerosis,mesh-list
NCT00530348,Pathologic Processes,mesh-ancestor
NCT00530348,"Demyelinating Autoimmune Diseases, CNS",mesh-ancestor
NCT00530348,Autoimmune Diseases of the Nervous System,mesh-ancestor
NCT00530348,Nervous System Diseases,mesh-ancestor
NCT00530348,Demyelinating Diseases,mesh-ancestor
NCT00530348,Autoimmune Diseases,mesh-ancestor
NCT00530348,Immune System Diseases,mesh-ancestor
NCT00538590,Glaucoma,mesh-list
NCT00538590,"Glaucoma, Open-Angle",mesh-list
NCT00538590,Ocular Hypertension,mesh-ancestor
NCT00538590,Eye Diseases,mesh-ancestor
NCT00545077,Breast Neoplasms,mesh-list
NCT00545077,Neoplasms by Site,mesh-ancestor
NCT00545077,Neoplasms,mesh-ancestor
NCT00545077,Breast Diseases,mesh-ancestor
NCT00545077,Skin Diseases,mesh-ancestor
NCT00545103,Diverticulitis,mesh-list
NCT00545103,Recurrence,mesh-list
NCT00545103,Disease Attributes,mesh-ancestor
NCT00545103,Pathologic Processes,mesh-ancestor
NCT00545103,Diverticular Diseases,mesh-ancestor
NCT00545103,Gastroenteritis,mesh-ancestor
NCT00545103,Gastrointestinal Diseases,mesh-ancestor
NCT00545103,Digestive System Diseases,mesh-ancestor
NCT00548405,Multiple Sclerosis,mesh-list
NCT00548405,"Multiple Sclerosis, Relapsing-Remitting",mesh-list
NCT00548405,Sclerosis,mesh-list
NCT00548405,Pathologic Processes,mesh-ancestor
NCT00548405,"Demyelinating Autoimmune Diseases, CNS",mesh-ancestor
NCT00548405,Autoimmune Diseases of the Nervous System,mesh-ancestor
NCT00548405,Nervous System Diseases,mesh-ancestor
NCT00548405,Demyelinating Diseases,mesh-ancestor
NCT00548405,Autoimmune Diseases,mesh-ancestor
NCT00548405,Immune System Diseases,mesh-ancestor
NCT00550862,Liver Cirrhosis,mesh-list
NCT00550862,"Liver Cirrhosis, Biliary",mesh-list
NCT00550862,Fibrosis,mesh-list
NCT00550862,Pathologic Processes,mesh-ancestor
NCT00550862,Liver Diseases,mesh-ancestor
NCT00550862,Digestive System Diseases,mesh-ancestor
NCT00550862,"Cholestasis, Intrahepatic",mesh-ancestor
NCT00550862,Cholestasis,mesh-ancestor
NCT00550862,Bile Duct Diseases,mesh-ancestor
NCT00550862,Biliary Tract Diseases,mesh-ancestor
NCT00570765,Liver Cirrhosis,mesh-list
NCT00570765,"Liver Cirrhosis, Biliary",mesh-list
NCT00570765,Fibrosis,mesh-list
NCT00570765,Pathologic Processes,mesh-ancestor
NCT00570765,Liver Diseases,mesh-ancestor
NCT00570765,Digestive System Diseases,mesh-ancestor
NCT00570765,"Cholestasis, Intrahepatic",mesh-ancestor
NCT00570765,Cholestasis,mesh-ancestor
NCT00570765,Bile Duct Diseases,mesh-ancestor
NCT00570765,Biliary Tract Diseases,mesh-ancestor
NCT00574873,Leukemia,mesh-list
NCT00574873,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",mesh-list
NCT00574873,Philadelphia Chromosome,mesh-list
NCT00574873,Neoplasms by Histologic Type,mesh-ancestor
NCT00574873,Neoplasms,mesh-ancestor
NCT00574873,"Leukemia, Myeloid",mesh-ancestor
NCT00574873,Myeloproliferative Disorders,mesh-ancestor
NCT00574873,Bone Marrow Diseases,mesh-ancestor
NCT00574873,Hematologic Diseases,mesh-ancestor
NCT00574873,"Translocation, Genetic",mesh-ancestor
NCT00574873,Chromosome Aberrations,mesh-ancestor
NCT00574873,Pathologic Processes,mesh-ancestor
NCT00575588,"Diabetes Mellitus, Type 2",mesh-list
NCT00575588,Diabetes Mellitus,mesh-ancestor
NCT00575588,Glucose Metabolism Disorders,mesh-ancestor
NCT00575588,Metabolic Diseases,mesh-ancestor
NCT00575588,Endocrine System Diseases,mesh-ancestor
NCT00592553,Muscular Dystrophies,mesh-list
NCT00592553,"Muscular Dystrophy, Duchenne",mesh-list
NCT00592553,"Muscular Disorders, Atrophic",mesh-ancestor
NCT00592553,Muscular Diseases,mesh-ancestor
NCT00592553,Musculoskeletal Diseases,mesh-ancestor
NCT00592553,Neuromuscular Diseases,mesh-ancestor
NCT00592553,Nervous System Diseases,mesh-ancestor
NCT00592553,"Genetic Diseases, Inborn",mesh-ancestor
NCT00592553,"Genetic Diseases, X-Linked",mesh-ancestor
NCT00605826,Fecal Incontinence,mesh-list
NCT00605826,Rectal Diseases,mesh-ancestor
NCT00605826,Intestinal Diseases,mesh-ancestor
NCT00605826,Gastrointestinal Diseases,mesh-ancestor
NCT00605826,Digestive System Diseases,mesh-ancestor
NCT00615264,Diabetes Mellitus,mesh-list
NCT00615264,"Diabetes Mellitus, Type 1",mesh-list
NCT00615264,Glucose Metabolism Disorders,mesh-ancestor
NCT00615264,Metabolic Diseases,mesh-ancestor
NCT00615264,Endocrine System Diseases,mesh-ancestor
NCT00615264,Autoimmune Diseases,mesh-ancestor
NCT00615264,Immune System Diseases,mesh-ancestor
NCT00617175,Heart Diseases,mesh-list
NCT00617175,Cardiovascular Diseases,mesh-ancestor
NCT00626548,Prostatic Neoplasms,mesh-list
NCT00626548,"Genital Neoplasms, Male",mesh-ancestor
NCT00626548,Urogenital Neoplasms,mesh-ancestor
NCT00626548,Neoplasms by Site,mesh-ancestor
NCT00626548,Neoplasms,mesh-ancestor
NCT00626548,Prostatic Diseases,mesh-ancestor
NCT00627094,Varicose Ulcer,mesh-list
NCT00627094,Leg Ulcer,mesh-list
NCT00627094,Ulcer,mesh-list
NCT00627094,Pathologic Processes,mesh-ancestor
NCT00627094,Skin Ulcer,mesh-ancestor
NCT00627094,Skin Diseases,mesh-ancestor
NCT00627094,Varicose Veins,mesh-ancestor
NCT00627094,Vascular Diseases,mesh-ancestor
NCT00627094,Cardiovascular Diseases,mesh-ancestor
NCT00630812,Cystic Fibrosis,mesh-list
NCT00630812,Fibrosis,mesh-list
NCT00630812,Pathologic Processes,mesh-ancestor
NCT00630812,Pancreatic Diseases,mesh-ancestor
NCT00630812,Digestive System Diseases,mesh-ancestor
NCT00630812,Lung Diseases,mesh-ancestor
NCT00630812,Respiratory Tract Diseases,mesh-ancestor
NCT00630812,"Genetic Diseases, Inborn",mesh-ancestor
NCT00630812,"Infant, Newborn, Diseases",mesh-ancestor
NCT00631371,Carcinoma,mesh-list
NCT00631371,"Carcinoma, Renal Cell",mesh-list
NCT00631371,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00631371,Neoplasms by Histologic Type,mesh-ancestor
NCT00631371,Neoplasms,mesh-ancestor
NCT00631371,Adenocarcinoma,mesh-ancestor
NCT00631371,Kidney Neoplasms,mesh-ancestor
NCT00631371,Urologic Neoplasms,mesh-ancestor
NCT00631371,Urogenital Neoplasms,mesh-ancestor
NCT00631371,Neoplasms by Site,mesh-ancestor
NCT00631371,Kidney Diseases,mesh-ancestor
NCT00631371,Urologic Diseases,mesh-ancestor
NCT00636181,Sleep Apnea Syndromes,mesh-list
NCT00636181,"Sleep Apnea, Obstructive",mesh-list
NCT00636181,Apnea,mesh-ancestor
NCT00636181,Respiration Disorders,mesh-ancestor
NCT00636181,Respiratory Tract Diseases,mesh-ancestor
NCT00636181,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT00636181,Dyssomnias,mesh-ancestor
NCT00636181,Sleep Wake Disorders,mesh-ancestor
NCT00636181,Nervous System Diseases,mesh-ancestor
NCT00644059,"Influenza, Human",mesh-list
NCT00644059,Respiratory Tract Infections,mesh-ancestor
NCT00644059,Infections,mesh-ancestor
NCT00644059,Orthomyxoviridae Infections,mesh-ancestor
NCT00644059,RNA Virus Infections,mesh-ancestor
NCT00644059,Virus Diseases,mesh-ancestor
NCT00644059,Respiratory Tract Diseases,mesh-ancestor
NCT00650078,Arthritis,mesh-list
NCT00650078,"Arthritis, Rheumatoid",mesh-list
NCT00650078,Joint Diseases,mesh-ancestor
NCT00650078,Musculoskeletal Diseases,mesh-ancestor
NCT00650078,Rheumatic Diseases,mesh-ancestor
NCT00650078,Connective Tissue Diseases,mesh-ancestor
NCT00650078,Autoimmune Diseases,mesh-ancestor
NCT00650078,Immune System Diseases,mesh-ancestor
NCT00656136,"Carcinoma, Non-Small-Cell Lung",mesh-list
NCT00656136,"Carcinoma, Bronchogenic",mesh-ancestor
NCT00656136,Bronchial Neoplasms,mesh-ancestor
NCT00656136,Lung Neoplasms,mesh-ancestor
NCT00656136,Respiratory Tract Neoplasms,mesh-ancestor
NCT00656136,Thoracic Neoplasms,mesh-ancestor
NCT00656136,Neoplasms by Site,mesh-ancestor
NCT00656136,Neoplasms,mesh-ancestor
NCT00656136,Lung Diseases,mesh-ancestor
NCT00656136,Respiratory Tract Diseases,mesh-ancestor
NCT00660179,Pulmonary Arterial Hypertension,mesh-list
NCT00660179,Familial Primary Pulmonary Hypertension,mesh-list
NCT00660179,Hypertension,mesh-list
NCT00660179,Vascular Diseases,mesh-ancestor
NCT00660179,Cardiovascular Diseases,mesh-ancestor
NCT00660179,"Hypertension, Pulmonary",mesh-ancestor
NCT00660179,Lung Diseases,mesh-ancestor
NCT00660179,Respiratory Tract Diseases,mesh-ancestor
NCT00661830,Adenocarcinoma,mesh-list
NCT00661830,Carcinoma,mesh-ancestor
NCT00661830,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00661830,Neoplasms by Histologic Type,mesh-ancestor
NCT00661830,Neoplasms,mesh-ancestor
NCT00665626,Arthritis,mesh-list
NCT00665626,"Arthritis, Rheumatoid",mesh-list
NCT00665626,Joint Diseases,mesh-ancestor
NCT00665626,Musculoskeletal Diseases,mesh-ancestor
NCT00665626,Rheumatic Diseases,mesh-ancestor
NCT00665626,Connective Tissue Diseases,mesh-ancestor
NCT00665626,Autoimmune Diseases,mesh-ancestor
NCT00665626,Immune System Diseases,mesh-ancestor
NCT00667810,Alzheimer Disease,mesh-list
NCT00667810,Dementia,mesh-ancestor
NCT00667810,Brain Diseases,mesh-ancestor
NCT00667810,Central Nervous System Diseases,mesh-ancestor
NCT00667810,Nervous System Diseases,mesh-ancestor
NCT00667810,Tauopathies,mesh-ancestor
NCT00667810,Neurodegenerative Diseases,mesh-ancestor
NCT00667810,Neurocognitive Disorders,mesh-ancestor
NCT00667810,Mental Disorders,mesh-ancestor
NCT00674700,Rhinitis,mesh-list
NCT00674700,"Rhinitis, Allergic",mesh-list
NCT00674700,Respiratory Tract Infections,mesh-ancestor
NCT00674700,Infections,mesh-ancestor
NCT00674700,Nose Diseases,mesh-ancestor
NCT00674700,Respiratory Tract Diseases,mesh-ancestor
NCT00674700,Otorhinolaryngologic Diseases,mesh-ancestor
NCT00674700,Respiratory Hypersensitivity,mesh-ancestor
NCT00674700,"Hypersensitivity, Immediate",mesh-ancestor
NCT00674700,Hypersensitivity,mesh-ancestor
NCT00674700,Immune System Diseases,mesh-ancestor
NCT00676143,Alzheimer Disease,mesh-list
NCT00676143,Dementia,mesh-ancestor
NCT00676143,Brain Diseases,mesh-ancestor
NCT00676143,Central Nervous System Diseases,mesh-ancestor
NCT00676143,Nervous System Diseases,mesh-ancestor
NCT00676143,Tauopathies,mesh-ancestor
NCT00676143,Neurodegenerative Diseases,mesh-ancestor
NCT00676143,Neurocognitive Disorders,mesh-ancestor
NCT00676143,Mental Disorders,mesh-ancestor
NCT00678392,"Carcinoma, Renal Cell",mesh-list
NCT00678392,Kidney Neoplasms,mesh-list
