drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00000098,ICD10,K85,Acute pancreatitis,Free text,NA,"pancreatic necrosis, pre-existent obstructiv cholestasis",ICD10,C25,Malignant neoplasm of pancreas,ICD10,K86.1,Other chronic pancreatitis,ICD10,C24.0,Malignant neoplasm: Extrahepatic bile duct
DRKS00000101,ICD10,F50.0,Anorexia nervosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000103,ICD10,F00,Dementia in Alzheimer's disease,ICD10,R45.3,Demoralization and apathy,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000104,Free text,NA,"Critically ill internal patients, who need parenteral nutrition during the first seven days of acute illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000113,Free text,NA,intracranial aneurysms,ICD10,I67.10,"[generalization I67.1: Cerebral aneurysm, nonruptured]",ICD10,Q28.30,[generalization Q28.3: Other malformations of cerebral vessels],NA,NA,NA,NA,NA,NA
DRKS00000119,ICD10,C80,Malignant neoplasm without specification of site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000125,ICD10,I10,Essential (primary) hypertension,ICD10,I11,Hypertensive heart disease,ICD10,I12,Hypertensive renal disease,ICD10,I13,Hypertensive heart and renal disease,ICD10,I15,Secondary hypertension
DRKS00000128,Free text,NA,suspected or known small bowel disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000138,Free text,NA,"Fecal incontinence, grade I and above",ICD10,R15,Faecal incontinence,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000140,Free text,NA,"muscle atropy, bone resorption, deconditioning of the cardio vascular system, deconditioning of the balance ability, cartilage degeneration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000144,Other,NA,"C05.550.114.606.400: Hip coxarthrosis, osteoarthosis",ICD10,M16,Coxarthrosis [arthrosis of hip],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000148,ICD10,R10.4,Other and unspecified abdominal pain,ICD10,E74.3,Other disorders of intestinal carbohydrate absorption,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000149,Free text,NA,Provision of complete dentures,ICD10,Z46.3,Fitting and adjustment of dental prosthetic device,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000150,ICD10,M06.99,"[generalization M06.9: Rheumatoid arthritis, unspecified]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000159,Free text,NA,provision with partial denture for replacement of lost teeth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000169,Free text,NA,suspected or known small bowel disease,ICD10,C17,Malignant neoplasm of small intestine,ICD10,K50.0,Crohn's disease of small intestine,ICD10,K51.1,Ulcerative (chronic) ileocolitis,ICD10,K55,Vascular disorders of intestine
DRKS00000170,Free text,NA,suspected mid-GI-bleeding,ICD10,K92.2,"Gastrointestinal haemorrhage, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000173,Free text,NA,unspecific pain of the shoulder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000174,Free text,NA,recommended screening colonoscopy or diagnostic colonoscopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000183,Free text,NA,chronic non-specific low back pain,ICD10,M54.5,Low back pain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000195,Free text,NA,healthy adults with vitamin D deficiency,ICD10,E56.9,"Vitamin deficiency, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000223,Free text,NA,Autologous Stem Cell Transplantation,ICD10,C82,Follicular [nodular] non-Hodgkin's lymphoma,ICD10,C83,Diffuse non-Hodgkin's lymphoma,ICD10,C90.0,Multiple myeloma,NA,NA,NA
DRKS00000227,Free text,NA,Indolent B cell lymphoma,ICD10,C82,Follicular [nodular] non-Hodgkin's lymphoma,ICD10,C83.0,Non-Hodgkin's lymphoma: Small cell (diffuse),ICD10,C83.1,Non-Hodgkin's lymphoma: Small cleaved cell (diffuse),NA,NA,NA
DRKS00000234,ICD10,K51.2,Ulcerative (chronic) proctitis,MedDRA,NA,10036774/10036789: active proctitis/proctosigmoiditis,ICD10,K51.3,Ulcerative (chronic) rectosigmoiditis,NA,NA,NA,NA,NA,NA
DRKS00000239,Free text,NA,chronic obstructive pulmonary disease (COPD),ICD10,J44,Other chronic obstructive pulmonary disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000246,Free text,NA,Dental crown due to caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000248,Free text,NA,Chemotherapie-induced oral mucositis,ICD10,K12.1,Other forms of stomatitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000259,ICD10,I50.12,[generalization I50.1: Left ventricular failure],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000272,ICD10,I50,Heart failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000280,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000290,ICD10,F42,Obsessive-compulsive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000293,MedDRA,NA,10044755: Tuberculosis,ICD10,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000304,ICD10,F20,Schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000308,ICD10,K51.0,Ulcerative (chronic) enterocolitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000326,ICD10,M54.5,Low back pain,ICD10,M54.6,Pain in thoracic spine,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000337,ICD10,F45.41,[generalization F45.4: Persistent somatoform pain disorder],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000371,Free text,NA,Acute and acut-on-chronic liver failure,ICD10,K70,Alcoholic liver disease,ICD10,K77,Liver disorders in diseases classified elsewhere,ICD10,T86.4,Liver transplant failure and rejection,ICD10,K71,Toxic liver disease
DRKS00000373,ICD10,M54.9,"Dorsalgia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000378,Free text,NA,emergency airway managment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000383,ICD10,E88.9,"Metabolic disorder, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000390,Free text,NA,elective midline laparotomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000393,ICD10,M17,Gonarthrosis [arthrosis of knee],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000395,ICD10,F00,Dementia in Alzheimer's disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000396,Free text,NA,Children not suffering from a special disease.,Free text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000407,Free text,NA,PPCM: Peripartum Cardiomyopathy,ICD10,O99.4,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000431,ICD10,K92.2,"Gastrointestinal haemorrhage, unspecified",ICD10,D37.4,Neoplasm of uncertain or unknown behaviour: Colon,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000446,ICD10,I50.19,[generalization I50.1: Left ventricular failure],ICD10,G47.3,Sleep apnoea,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000452,ICD10,Z94.0,Kidney transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000460,ICD10,M54.2,Cervicalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000481,ICD10,E11.90,[generalization E11.9: Non-insulin-dependent diabetes mellitus; Without complications],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000485,Free text,NA,Dehydration due to acute gastroenteritis,ICD10,E86,Volume depletion,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000509,ICD10,E70.0,Classical phenylketonuria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000541,ICD10,M19.15,[generalization M19.1: Post-traumatic arthrosis of other joints],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000543,ICD10,E66.00,[generalization E66.0: Obesity due to excess calories],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000549,ICD10,G47.31,[generalization G47.3: Sleep apnoea],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000555,Free text,NA,Metabolic Syndrom,Free text,NA,"overweight/obesity, hypertension, dyslipidaemia",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000573,ICD10,I50.1,Left ventricular failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000589,ICD10,E78,Disorders of lipoprotein metabolism and other lipidaemias,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000627,ICD10,D12.6,"Benign neoplasm: Colon, unspecified",ICD10,D12.8,Benign neoplasm: Rectum,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000651,ICD10,M16,Coxarthrosis [arthrosis of hip],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000653,ICD10,F43.1,Post-traumatic stress disorder,ICD10,F40,Phobic anxiety disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000657,MedDRA,NA,10051066  Tumor des Gastrointestinalstromas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000663,Free text,NA,Nociception under anesthesia in healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000668,ICD10,M16.9,"Coxarthrosis, unspecified",ICD10,M17.9,"Gonarthrosis, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000691,ICD10,M54.2,Cervicalgia,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000710,ICD10,J44.19,"[generalization J44.1: Chronic obstructive pulmonary disease with acute exacerbation, unspecified]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000716,ICD10,L40.0,Psoriasis vulgaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000723,ICD10,I63.4,Cerebral infarction due to embolism of cerebral arteries,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000724,ICD10,M17.0,"Primary gonarthrosis, bilateral",ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000742,Free text,NA,Plantar fasciitis,ICD10,M72.2,Plantar fascial fibromatosis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000745,ICD10,S72.0,Fracture of neck of femur,ICD10,F32.9,"Depressive episode, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000760,Free text,NA,Airway management during general anaesthesia,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000769,Free text,NA,Brain tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000788,ICD10,G40,Epilepsy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000815,Free text,NA,Inspiratory muscle training,Free text,NA,Healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00001030,ICD10,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003111,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003116,Free text,NA,postoperativ pains past hämorrhoidopexie according to Longo ,ICD10,R52.9,"Pain, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003121,ICD10,J96.0,Acute respiratory failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003159,ICD10,I50,Heart failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003172,Free text,NA,Health volunteer ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003241,ICD10,D69.6,"Thrombocytopenia, unspecified",MedDRA,NA,10024922: low platelets,Free text,NA,Pathogen inactivation of platelet concentrates,NA,NA,NA,NA,NA,NA
DRKS00003243,ICD10,R13.9,[generalization R13: Dysphagia],ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003261,ICD10,F48.0,Neurasthenia,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003269,ICD10,H16.2,Keratoconjunctivitis,ICD10,H04.1,Other disorders of lacrimal gland,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003270,Free text,NA,healthy volunteer,Free text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003280,ICD10,L50.8,Other urticaria,ICD10,L20.8,Other atopic dermatitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003286,ICD10,M16,Coxarthrosis [arthrosis of hip],ICD10,M17,Gonarthrosis [arthrosis of knee],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003308,ICD10,G43,Migraine,ICD10,G44.2,Tension-type headache,ICD10,G44,Other headache syndromes,ICD10,R51,Headache,ICD10,R42,Dizziness and giddiness
DRKS00003356,ICD10,F90.1,Hyperkinetic conduct disorder,ICD10,F91.3,Oppositional defiant disorder,ICD10,F90.0,Disturbance of activity and attention,NA,NA,NA,NA,NA,NA
DRKS00003515,ICD10,I63,Cerebral infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003537,ICD10,E66,Obesity,Free text,NA,"eating behaviour, eating disorders",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004210,ICD10,G25.0,Essential tremor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004309,ICD10,K12.3,[generalization K12: Stomatitis and related lesions],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004386,ICD10,F41.0,Panic disorder [episodic paroxysmal anxiety],ICD10,F40.01,[generalization F40.0: Agoraphobia],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004537,Free text,NA,General anesthesia for Knee arthroscopy surgery,Free text,NA,General anesthesia for Shoulder arthroscopy surgery,ICD10,M23,Internal derangement of knee,ICD10,M75.4,Impingement syndrome of shoulder,ICD10,M19.07,[generalization M19.0: Primary arthrosis of other joints]
DRKS00004685,Free text,NA,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004916,ICD10,C00-D48,Neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005118,Free text,NA,Improvement of sensorimotor performance in healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005125,Free text,NA,Stress-related impairments,Free text,NA,Healthy Volunteer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005268,Free text,NA,Healthy Volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005312,ICD10,R25.2,Cramp and spasm,Free text,NA,Healthy Volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000472,ICD10,G30,Alzheimer's disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000542,MedDRA,NA,10004716:binge eating,ICD10,F50.8,Other eating disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004279,ICD10,L29,Pruritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000006,ICD10,A41,Other septicaemia,Free text,NA,Catheter-associated Infections,Free text,NA,Bacteremia,NA,NA,NA,NA,NA,NA
DRKS00000376,ICD10,C22.0,Malignant neoplasm: Liver cell carcinoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003181,Free text,NA,GRAUERSTAR,ICD10,H25,Senile cataract,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003324,ICD10,C67,Malignant neoplasm of bladder,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000219,ICD10,C84,Peripheral and cutaneous T-cell lymphomas,ICD10,C84.0,Mycosis fungoides,ICD10,C84.2,T-zone lymphoma,ICD10,C85.1,"B-cell lymphoma, unspecified",NA,NA,NA
DRKS00000276,ICD10,I20,Angina pectoris,ICD10,I20-I25,Ischaemic heart diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003209,ICD10,Z73,Problems related to life-management difficulty,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000201,Free text,NA,"Healthy, term born infants not at high risk to develop an atopic disease",ICD10,Z38.2,"Singleton, unspecified as to place of birth",ICD10,Z38.5,"Twin, unspecified as to place of birth",ICD10,J00-J06,Acute upper respiratory infections,ICD10,J20,Acute bronchitis
DRKS00000801,Free text,NA,F92.0  School refusal/ truancy with emotional and /or conduct problems,ICD10,F32,Depressive episode,ICD10,F92.0,Depressive conduct disorder,NA,NA,NA,NA,NA,NA
DRKS00004040,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000096,ICD10,C61,Malignant neoplasm of prostate,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000142,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000160,Free text,NA,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000161,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000165,ICD10,C67,Malignant neoplasm of bladder,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000177,ICD10,K00.2,Abnormalities of size and form of teeth,ICD10,K02.8,Other dental caries,ICD10,K02.9,"Dental caries, unspecified",ICD10,K03.0,Excessive attrition of teeth,ICD10,K03.1,Abrasion of teeth
DRKS00000184,ICD10,D86.0,Sarcoidosis of lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000197,ICD10,M17,Gonarthrosis [arthrosis of knee],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000245,ICD10,F41.0,Panic disorder [episodic paroxysmal anxiety],ICD10,F40.01,[generalization F40.0: Agoraphobia],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000249,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000319,ICD10,C61,Malignant neoplasm of prostate,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000325,ICD10,E66.0,Obesity due to excess calories,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000327,ICD10,R52,"Pain, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000328,MedDRA,NA,LLT 10000522: Acoustic neurinoma,ICD10,D33.3,Benign neoplasm: Cranial nerves,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000341,ICD10,K80.20,[generalization K80.2: Calculus of gallbladder without cholecystitis],ICD10,K80.10,[generalization K80.1: Calculus of gallbladder with other cholecystitis],Other,NA,5-511.11: Laparoscopic cholecystectomy,NA,NA,NA,NA,NA,NA
DRKS00000342,ICD10,E66.99,"[generalization E66.9: Obesity, unspecified]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000379,ICD10,Z93.0,Tracheostomy status,ICD10,Z90.0,Acquired absence of part of head and neck,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000398,ICD10,K35.9,"Acute appendicitis, unspecified",ICD10,K36,Other appendicitis,ICD10,K37,Unspecified appendicitis,NA,NA,NA,NA,NA,NA
DRKS00000416,ICD10,K58,Irritable bowel syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000436,ICD10,G12.1,Other inherited spinal muscular atrophy,ICD10,G71.0,Muscular dystrophy,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000467,ICD10,R06.3,Periodic breathing,ICD10,I50.19,[generalization I50.1: Left ventricular failure],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000486,ICD10,F32,Depressive episode,ICD10,K50,Crohn's disease [regional enteritis],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000491,ICD10,R52.9,"Pain, unspecified",Free text,NA,Pain perception of test persons after the application of topical medication during mechanical epilation ,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000494,ICD10,E66.9,"Obesity, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000525,ICD10,R52,"Pain, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000535,Free text,NA,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000565,ICD10,I50.1,Left ventricular failure,ICD10,R06.3,Periodic breathing,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000570,ICD10,F40.1,Social phobias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000619,Free text,NA,severe sepsis,ICD10,A41.9,"Septicaemia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000655,ICD10,M15-M19,Arthrosis,Free text,NA,"chronic back pain (ICD-10: M47.1-M47.9, M48.1, M48.2, M48.8; M48.9, M51.0-M51.9, M53.8, M53.9, M54.1, M54.3, M54.4, M54.5, M54.8, M54.9, F45.4)",ICD10,M47.1,Other spondylosis with myelopathy,ICD10,M47.2,Other spondylosis with radiculopathy,ICD10,M47.8,Other spondylosis
DRKS00000662,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,ICD10,F34,Persistent mood [affective] disorders,ICD10,F38,Other mood [affective] disorders,ICD10,F39,Unspecified mood [affective] disorder
DRKS00000666,ICD10,I25,Chronic ischaemic heart disease,ICD10,N18,Chronic renal failure,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000671,ICD10,F20,Schizophrenia,ICD10,F25,Schizoaffective disorders,ICD10,F10-F19,Mental and behavioural disorders due to psychoactive substance use,NA,NA,NA,NA,NA,NA
DRKS00000682,ICD10,F20,Schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000688,Free text,NA,respiratory disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000692,Free text,NA,asthenia and decreased concentration capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000711,ICD10,H34.8,Other retinal vascular occlusions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000715,Free text,NA,difficult airway ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000732,ICD10,I64,"Stroke, not specified as haemorrhage or infarction",ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000738,Free text,NA,Schoolrefusing and schooltruant youth with mental disorders,ICD10,F99,"Mental disorder, not otherwise specified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000747,ICD10,F40.2,Specific (isolated) phobias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000752,Free text,NA,ppostoperative cardiopulmonary impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000765,ICD10,C50,Malignant neoplasm of breast,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000776,ICD10,M40-M54,Dorsopathies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000780,ICD10,F06.7,Mild cognitive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00001899,ICD10,F10,Mental and behavioural disorders due to use of alcohol,ICD10,F11,Mental and behavioural disorders due to use of opioids,ICD10,F12,Mental and behavioural disorders due to use of cannabinoids,ICD10,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,ICD10,F14,Mental and behavioural disorders due to use of cocaine
DRKS00003070,ICD10,K76.6,Portal hypertension,ICD10,K74.6,Other and unspecified cirrhosis of liver,NA,NA,NA,NA,NA,NA,NA,NA,NA
