nct_id,name
NCT00722566,Multiple Myeloma
NCT00733343,Heart Failure
NCT00733343,Sleep Disordered Breathing
NCT00740831,Uterine Myomas
NCT00742859,Atrial Fibrillation
NCT00749996,Sciatica
NCT00749996,Back Pain
NCT00763971,ADHD
NCT00764881,Contraception
NCT00764881,Libido
NCT00769561,Temporomandibular Disorders
NCT00778648,Common Cold
NCT00784654,ADHD
NCT00786994,Actinic Keratoses
NCT00798317,Vitreomacular Adhesion
NCT00798967,Short Bowel Syndrome
NCT00800384,Ventricular Fibrillation
NCT00800384,Ventricular Tachycardia
NCT00803205,Cystic Fibrosis
NCT00803634,Hypertension
NCT00803634,Heart Failure
NCT00808236,Cardiac Arrest
NCT00810043,Vertebral Body Compression Fractures (VCFs)
NCT00819286,Sternal Wound Infection
NCT00819286,Sternal Non-union
NCT00819286,Pain
NCT00819286,Mediastinitis
NCT00823212,Coronary Artery Disease
NCT00827983,In Vitro Fertilization
NCT00831233,Prostate Cancer
NCT00833248,Prostate Cancer
NCT00835978,"Carcinoma, Renal Cell"
NCT00844649,Metastatic Pancreatic Cancer
NCT00864253,Malignant Melanoma
NCT00868166,Amyotrophic Lateral Sclerosis
NCT00873119,Carcinoma of Unknown Primary
NCT00874848,NSCLC
NCT00879229,Idiopathic Pulmonary Fibrosis
NCT00879229,Pulmonary Hypertension
NCT00886704,Atherosclerosis
NCT00887978,Pulmonary Hypertension
NCT00888433,Uncontrolled Hypertension
NCT00888940,Bloodloss
NCT00888940,"Surgical Procedures, Operative"
NCT00895830,Postoperative Nausea and Vomiting
NCT00900146,"Diabetes Mellitus, Type 2"
NCT00903331,Idiopathic Pulmonary Fibrosis
NCT00905268,Friedreich's Ataxia
NCT00905840,"Jaw, Edentulous"
NCT00909532,Cystic Fibrosis
NCT00909727,Cystic Fibrosis
NCT00913744,Exudative Age-Related Macular Degeneration
NCT00913744,Focal Vitreomacular Adhesion
NCT00924638,Cryptogenic Symptomatic Transient Ischemic Attack
NCT00924638,Cryptogenic Ischemic Stroke
NCT00925301,Fabry Disease
NCT00930813,Atherosclerosis
NCT00930813,Vascular Disease
NCT00930813,Arteriosclerosis
NCT00931463,HIV Infections
NCT00932893,"Carcinoma, Non-Small-Cell Lung"
NCT00941733,Critical Lower Limb Ischemia
NCT00943111,"Gaucher Disease, Type 1"
NCT00949975,Chronic Obstructive Pulmonary Disease
NCT00950300,Breast Cancer
NCT00958776,Cough
NCT00958776,Sore Throat
NCT00958776,Nasal Congestion
NCT00958776,Headache
NCT00958776,Fever
NCT00958776,Seasonal Influenza
NCT00976521,Acute Anterior Myocardial Infarction
NCT00979745,Erythropoietic Protoporphyria
NCT00988208,Prostate Cancer
NCT01009138,Depressive Symptoms
NCT01009138,Diabetes Mellitus
NCT01016873,AMD
NCT01016873,Wet AMD
NCT01016873,Age-Related Macular Degeneration
NCT01016873,Wet Age-Related Macular Degeneration
NCT01016873,Macular Degeneration
NCT01016873,Eye Diseases
NCT01016873,Retinal Diseases
NCT01021423,Mantle Cell Lymphoma
NCT01021423,Non-Hodgkin's Lymphoma
NCT01022242,Surgical Adhesions
NCT01027884,"Muscular Dystrophy, Duchenne"
NCT01027884,Ambulatory Care
NCT01030666,Periodontitis
NCT01056341,Infantile Hemangioma
NCT01063829,HCMV Reactivation or HCMV End-Organ Disease
NCT01078168,Alzheimer Disease
NCT01078298,Smoking Cessation
NCT01078298,Depression
NCT01081145,Attention-deficit/Hyperactivity Disorder
NCT01087723,Acute Coronary Syndrome
NCT01089231,Hyperlipidemia
NCT01089231,Healthy
NCT01103284,Type 1 Diabetes Mellitus
NCT01106430,Attention-Deficit/Hyperactivity Disorder
NCT01106586,HIV
NCT01106586,HIV Infections
NCT01737034,Dietary Intervention
NCT01108510,HIV
NCT01108510,HIV Infections
NCT01110915,Magnetic Resonance Imaging
NCT01110915,"Cardiac Pacemaker, Artificial"
NCT01112579,Heart Failure
NCT01112865,Growth Hormone Deficiency
NCT01115101,Pain
NCT01121666,Infertility
NCT01123512,Spinal Fractures
NCT01123512,"Fractures, Compression"
NCT01123512,Back Injuries
NCT01124786,Metastatic Pancreatic Adenocarcinoma
NCT01130493,Parkinson's Disease
NCT01143272,Antibiotic-associated Diarrhea
NCT01143272,Clostridium Difficile
NCT01143272,Diarrhea
NCT01147874,Psoriasis
NCT01147874,Psoriatic Arthritis
NCT01154140,Non Squamous Lung Cancer
NCT01163032,Non-24-Hour Sleep-Wake Disorder
NCT01166997,Submassive Pulmonary Embolism
NCT01171820,Coronary Disease
NCT01171820,Coronary Artery Disease
NCT01171820,Coronary Restenosis
NCT01172938,Psoriatic Arthritis
NCT01176968,Myocardial Infarction
NCT01180400,Major Depressive Disorder
NCT01180400,Depression
NCT01194219,Plaque Psoriasis
NCT01197508,Major Depressive Disorder
NCT01208233,Ischemic Stroke
NCT01223352,Pulmonary Arterial Hypertension
NCT01228149,Glaucoma
NCT01232283,Plaque Psoriasis
NCT01241591,Psoriasis
NCT01244061,Smoking Cessation
NCT01244490,Attention Deficit Hyperactivity Disorder
NCT01252940,HIV-1 Infection
NCT01255722,Coronary Artery Disease
NCT01256424,Cervical Intraepithelial Neoplasia
NCT01258153,Infantile Colic
NCT01258738,"Spondylitis, Ankylosing"
NCT01262677,Partial Seizures
NCT01262677,"Epilepsies, Partial"
NCT01270126,Optic Nerve Diseases
NCT01270126,Optic Nerve Injuries
NCT01270126,Optic Neuropathies
NCT01276639,Psoriasis
NCT01281189,Amyotrophic Lateral Sclerosis
NCT01284062,"Colitis, Ulcerative"
NCT01299480,Meningococcal Vaccine
NCT01303224,Irritable Bowel Syndrome With Diarrhea
NCT01307020,Pain
NCT01309243,HIV-1 Infection
NCT01309737,Psoriasis
NCT01314716,Bronchiectasis
NCT01315002,Schizophrenia
NCT01323270,Meningococcal Vaccine
NCT01323270,rLP2086
NCT01323270,Repevax
NCT01323270,N Meningitidis Serogroup B
NCT01323270,Meningitis
NCT01327547,HIV Coinfection
NCT01330394,Alcohol Dependence
NCT01330394,Executive Dysfunction
NCT01330394,Abnormal Craving for Drugs
NCT01337297,Cocaine Addiction
NCT01337297,Cocaine-related Disorder
NCT01337297,Executive Dysfunction
NCT01345630,HIV-1
NCT01357980,Detrusor Muscle Hyperactivity
NCT01360554,Non-Small Cell Lung Cancer
NCT01360840,Prostate Cancer Metastatic
NCT01370863,Gastroesophageal Reflux Disease
NCT01389856,Persistent Pulmonary Hypertension of the Newborn
NCT01394692,Glioma
NCT01401283,"Reduction of Length of Hospitality Stay, Reduction of Perioperative Complications"
NCT01405313,Periodic Breathing
NCT01405313,Breathing-Related Sleep Disorder
NCT01425359,Angina Pectoris
NCT01425359,Coronary Artery Disease
NCT01425359,Type 2 Diabetes Mellitus
NCT01436162,Major Depressive Disorder
NCT01442376,Chemotherapy-Induced Nausea and Vomiting
NCT01448213,Fuchs' Dystrophy
NCT01448213,Bullous Keratopathy
NCT01466387,Meningococcal Disease
NCT01466387,Meningococcal Meningitis
NCT01466387,Typhoid
NCT01466387,Yellow Fever
NCT01466387,Rabies
NCT01466387,Japanese Encephalitis
NCT01472939,Gastroesophageal Reflux Disease
NCT01474109,Systemic Sclerosis
NCT01474109,Ulcers
NCT01475838,Acquired Immunodeficiency Syndrome
NCT01475838,HIV Infections
NCT01495702,Acquired Immunodeficiency Syndrome
NCT01495702,HIV Infections
NCT01510704,Postoperative Nausea and Vomiting
NCT01519466,Type 1 Diabetes
NCT01523743,Neurogenic Bladder Dysfunction Nos
NCT01525667,Total Hip Arthroplasty
NCT01525667,Muscle Injury
NCT01530399,Bleeding
NCT01534962,Persistent Atrial Fibrillation
NCT01539512,Chronic Lymphocytic Leukemia
NCT01580592,Cold Contact Urticaria
NCT01586091,Pruritus
NCT01586091,Chronic Urticaria
NCT01586091,Allergic Rhinitis
NCT01600014,Actinic Keratosis
NCT01650805,Chronic Myeloid Leukemia
NCT01651780,Severe Aortic Stenosis
NCT01651780,Transcatheter Aortic Valve Replacement
NCT01651780,Aortic Valve Replacement
NCT01657305,Wounds
NCT01682720,Hepatitis C
NCT01690117,Dementia
NCT01690117,Family Caregiver
NCT01703819,Acute Stress Reaction
NCT01703832,Acute Stress Reaction
NCT01741532,Pantothenate Kinase-Associated Neurodegeneration
NCT01755143,Magnetic Resonance Imaging (MRI)
NCT01755143,Cardiac Pacing
NCT01769105,Meibomian Gland Dysfunction
NCT01785186,"Tuberculosis, Pulmonary"
NCT01797458,Dental Caries
NCT01797484,Coronary Artery Disease
NCT01797484,Acute Myocardial Ischemia
NCT01801280,Transplantation
NCT01801280,Immunosuppression
NCT01801280,Drug Interaction
NCT01837901,Retinitis Pigmentosa
NCT01853384,Venous Ulcer
NCT01853384,Venous Stasis Ulcer
NCT01853384,Ulcer
NCT01885000,Rosacea
NCT01885000,Erythema
NCT01891864,Chronic Stable Plaque Psoriasis
NCT01900067,Anesthesia Induced Hypothermia
NCT01900067,Inadvertent Perioperative Hypothermia
NCT01923961,End-stage Renal Disease
NCT01928433,Urinary Tract Infections
NCT01928433,Acute Pyelonephritis
NCT01963793,Pruritus
NCT02002871,Eczema
NCT02004847,Psoriasis Vulgaris
NCT02025205,COPD Patients With Homogeneous Emphysema
NCT02025205,Endoscopic Lung Volume Reduction With Endobronchial Valve
NCT02052960,"Carcinoma, Squamous Cell of Head and Neck"
NCT02079311,Inadvertent Perioperative Hypothermia
NCT02079311,Preoperative Anxiety Experienced by the Patient
NCT02148835,Healthy Volunteers
NCT02169115,Symptomatic Dermographism
NCT02189473,Metastatic Epidural Spinal Cord Compression
NCT02196324,Prurigo Nodularis
NCT02216526,Xerosis Cutis
NCT02273141,Colorectal Cancer
NCT02273141,Colorectal Carcinoma
NCT02273141,Colon Cleansing
NCT02290613,Systemic Sclerosis
NCT02290613,Pulmonary Hypertension
NCT02299089,Acromegaly
NCT02299089,Neuroendocrine Tumors
NCT02334813,"Purpura, Thrombocytopenic, Idiopathic"
NCT02337062,PONV
NCT00251251,"Heart Failure, Congestive"
NCT02340299,"Respiratory Distress Syndrome, Newborn"
NCT02340299,Respiratory Tract Diseases
NCT00256152,Hypertension
NCT00256152,Atrial Fibrillation
NCT00263419,Albuminuria
NCT00263419,"Diabetes Mellitus, Type 2"
NCT00263419,Diabetes Complications
NCT00268853,Diffuse Large-Cell Lymphoma
NCT02450578,"Plasmodium Falciparum, Malaria"
NCT02479412,Asthma
NCT02479412,Efficacy
NCT02479412,Safety
NCT00272948,Hepatic Veno-Occlusive Disease
NCT02534285,Anesthesia
NCT02548585,Type 2 Diabetes Mellitus
NCT02557698,Xerosis Cutis
NCT00275054,Chronic Lymphocytic Leukemia
NCT02566369,Acne Vulgaris
NCT02672553,Aortic Valve Disease
NCT02672553,Aortic Stenosis
NCT00281515,Epithelial Ovarian Cancer
NCT00282646,Arterial Occlusive Diseases
NCT02724592,Dental Caries
NCT02735187,Psoriasis Vulgaris
NCT02752802,Coronary Angiography
NCT02799069,Actinic Keratosis
NCT02851108,"Malaria, Falciparum"
NCT00284713,"Heart Failure, Congestive"
NCT00284713,"Cardiomyopathy, Dilated"
NCT00284713,Stem Cell Transplantation
NCT02870972,Hereditary Angioedema (HAE)
NCT01264549,Ischemic Stroke
NCT02930590,Pressure Ulcers
NCT02992236,Renal Function Impairment in Healthy Volunteers
NCT03860129,Intensive Care Unit Syndrome
NCT03134144,Healthy
NCT03829839,"Oxytocin, Lorazepam, Anti-Anxiety Agents, Physiological Effects of Drugs"
NCT00298597,Chronic Stroke
NCT00298597,Amyotrophic Lateral Sclerosis
NCT03789448,HIV/AIDS
NCT00307450,Parkinson's Disease
NCT01014767,Brain Cancer
NCT01014767,Choroid Plexus Tumors
NCT00324311,Burn
NCT00326066,Open-Angle Glaucoma
NCT00326079,Open-Angle Glaucoma
NCT00326989,Congestive Heart Failure
NCT00330369,Hypertension
NCT00331890,Acute Stroke
NCT00331890,Cerebral Infarction
NCT00334594,Malignant Mesothelioma
NCT00335543,Pancreatic Cancer
NCT00338689,Infant Development
NCT03666338,Critical Care
NCT03666338,Rehabilitation
NCT00344253,"Uveitis, Intermediate"
NCT00344253,Macular Edema
NCT00344253,Multiple Sclerosis
NCT03584451,Total Hip Arthroplasty
NCT03584451,"Osteoarthritis, Hip"
NCT03584451,Sports Physical Therapy
NCT03524755,Head and Neck Cancer
NCT03524755,Cachexia; Cancer
NCT03524755,Resistance Training
NCT00349076,Rectal Neoplasms
NCT00349089,Non Small Cell Lung Cancer
NCT03519698,Anorexia Nervosa
NCT00354133,Parkinson Disease
NCT03425929,Healthy
NCT00355095,Optic Neuritis
NCT00355862,Hepatocellular Carcinoma
NCT03378804,"Pain, Postoperative"
NCT03331159,"Fusion of Spine, Lumbar Region"
NCT00359918,Myocardial Infarction
NCT03323528,Pharyngitis
NCT03312816,Healthy
NCT03299127,Depression
NCT03281616,Diabetes Mellitus
NCT03265899,Healthy Volunteers
NCT03272490,Distal Humerus Fracture
NCT00366158,Arrhythmia
NCT03230422,Airway Complication of Anesthesia
NCT03231839,Type 2 Diabetes Mellitus
NCT03231839,Nutritional and Metabolic Diseases
NCT03231839,Liver Fat
NCT03231839,Insulin Sensitivity
NCT00368953,Coronary Arteriosclerosis
NCT00369018,Cervical Dysplasia
NCT03226587,Blue Light
NCT00372216,Myocardial Infarction
NCT00373373,Acute Myeloid Leukemia
NCT00373451,Myocardial Infarction
NCT00373451,Coronary Disease
NCT03157622,Chronic Low Back Pain
NCT03147131,"Osteoarthritis, Hip"
NCT03146832,"Pain, Acute"
NCT03141697,Colonoscopy
NCT03140397,Safety After Oral Intake
NCT03140397,Pharmacokinetics After Oral Intake
NCT03140397,Immune Cells Activity
NCT03120156,Sensorimotor Gait Disorder
NCT03114293,"Multiple Sclerosis, Chronic Progressive"
NCT03114306,Knee Arthropathy
NCT03114306,Postoperative Pain
NCT03114306,Postoperative Complications
NCT03105024,Specific Phobia
NCT03092206,Insulin Resistance
NCT00379470,Recurrent Glioblastoma Multiforme
NCT03063008,Vertebral Fusion
NCT03042429,Neuroblastoma
NCT03046940,Healthy
NCT03039387,Anodal Stimulation tDCS
NCT03039387,Major Depression
NCT03039387,Cognitive Control
NCT03039387,Emotion Regulation
NCT00385697,Type 1 Diabetes Mellitus
NCT03013322,"Shock, Septic"
NCT03013322,Sepsis
NCT03013322,Perioperative Period
NCT03011970,Healthy
NCT03011463,Pharmacokinetics
NCT03011463,Inhibition Enzyme
NCT03011463,Drug Interaction Potentiation
NCT02997137,Psychological Distress
NCT02993510,Cartilage Injury
NCT02993510,Osteochondritis Dissecans
NCT02975154,"Osteoarthritis,Knee"
NCT00389181,"Arteriovenous Malformations, Cerebral"
NCT02990039,Cardiovascular Risk Factor
NCT02990208,Fear of Flying
NCT00389779,Hypertension
NCT02964520,Anxiety
NCT02963298,Reperfusion Syndrome
NCT02962518,Keloid Ear
NCT00391612,Emphysema
NCT02957838,Alteration of Mitochondrial Membrane
NCT02957838,Type2 Diabetes
NCT02957838,Fatty Acid Deficiency
NCT02947542,Stable Coronary Heart Disease
NCT02951000,Thyroid Disease
NCT00393679,Fever
NCT00393679,Malaria
NCT00047099,Breast Cancer
NCT00052468,Fallopian Tube Cancer
NCT00052468,Ovarian Cancer
NCT00055874,Leukemia
NCT00056056,Lymphoma
NCT02919527,Fascia
NCT02919527,Self-Myofascial-Release
NCT02919527,Passive Stiffness
NCT02919527,Fascial Sliding
NCT02919527,Flexibility
NCT02920840,Depression
NCT00397345,Clear Cell Renal Carcinoma
NCT02930525,Respiratory Insufficiency
NCT02920164,Anxiety
NCT02912598,Lung Separation Techniques
NCT02912598,One-Lung Ventilation
NCT02893800,Dementia
NCT02902861,Psoriasis Vulgaris
NCT02885103,Chronic Obstructive Pulmonary Disease
NCT02896062,Insomnia
NCT02861001,Respiratory Insufficiency
NCT02883608,"Duodenal Papilla, Major"
NCT00400387,"Abortion, Habitual"
NCT02868320,Diabetes Mellitus
NCT02858817,Malaria
NCT02877797,Visualisation and Evaluation of Ampulla of Vater
NCT00401453,Diabetes Mellitus Type 2
NCT00401453,Insulin Resistance
NCT02857660,Sarcopenic Obesity
NCT02848352,Healthy Participants
NCT02848014,Healthy Participants
NCT00402428,Chronic Hepatitis C
NCT00061984,Sarcoma
NCT02836665,Dermatological Emergency
NCT00402532,Lung Transplantation
NCT00402675,Myocardial Infarction
NCT02834377,Postoperative Complications
NCT02834338,Pancreatic Resection
NCT02834338,Liver Resection
NCT02834338,Gastric Resection
NCT02834338,Colorectal Resection
NCT02810535,Perennial Rhinitis
NCT02804412,Aphasia
NCT02806583,Caregivers of People With Dementia
NCT02794272,Healthy Older Adults
NCT02794259,Healthy Older Adults
NCT02771652,Multiple Sclerosis
NCT02775019,Gingivitis
NCT02754167,Anemia of Chronic Kidney Disease
NCT02771535,Unipolar Depression
NCT02755246,Subjective Cognitive Decline
NCT02751229,Secrecy Versus Disclosure Among Adolescents With Mental Illness
NCT02744638,Bacterial Vaginosis
NCT02728466,Healthy
NCT02743260,Healthy
NCT02734901,Healthy
NCT02727140,Hypertension
NCT02705456,Dental Caries
NCT02721836,Irritable Bowel Syndrome
NCT02716389,Kinematics
NCT02716389,Reliability
NCT02716389,Cervical
NCT02697539,Chronic Periodontitis
NCT02701933,Functional Neuroimaging
NCT02689960,Adrenal Insufficiency
NCT00419250,Chronic Lymphocytic Leukemia
NCT00419250,"Leukemia, B-Cell, Chronic"
NCT00419601,Mechanical Ventilation
NCT02695940,Inverse Psoriasis
NCT02685696,Surgical Site Infection
NCT02679833,Cobalamin Deficiency
NCT00079105,Lymphoma
NCT00422916,Overweight
NCT02677129,Advanced Gastrointestinal Cancer
NCT02671929,Treatment Satisfaction
NCT02675660,Healthy
NCT02664805,Hand Eczema
NCT02670265,Weight Loss
NCT02670265,Pancreatic Cancer
NCT02670265,Biliary Tract Cancer
NCT02637778,Cardiovascular Diseases
NCT02639520,Urinary Tract Infection
NCT02647801,Self Regulation
NCT02643602,Radiographic Contrast Agent Nephropathy
NCT02647489,"Malaria, Antepartum"
NCT02640703,Premature Birth
NCT02640703,Intermittent Hypoxiema
NCT02637544,Temporomandibular Disorders
NCT00430118,Leukemia
NCT02612220,Hemorrhage
NCT00431561,Glioblastoma
NCT00431561,Anaplastic Astrocytoma
NCT02620553,Type 1 Diabetes
NCT02601963,Rosacea
NCT02601963,Papulopustular Rosacea
NCT02609412,Trigger Points
NCT02587533,"Hypertension, Resistant to Conventional Therapy"
NCT00433927,Neoplasm Metastasis
NCT00433927,Colorectal Cancer
NCT02595229,Forearm Pronation Strength Recovery
NCT02602275,Acute Stress Reaction
NCT02586181,Nutritional Supplement Toxicity
NCT02585882,"Fluorides, Dental Caries"
NCT00437307,Ovarian Cancer
NCT00437385,Depression
NCT00437385,Major Depression
NCT02569619,Mental Disorders
NCT02564081,Fascia
NCT02564081,Randomized Controlled Trial
NCT02564081,Stretching
NCT02564081,Myofascial
NCT02559141,Perioperative/Postoperative Complications
NCT02559141,C.Surgical Procedure; Digestive System
NCT02552654,Intrusive Memories
NCT00440167,Pancreatic Cancer
NCT02551302,Spine Surgery
NCT02551978,Obesity
NCT02551978,Child
NCT02557113,Vertebral Body Fracture
NCT02554318,Pulmonary Tuberculosis
NCT02554318,Body Weight Changes
NCT02554318,Motor Activity
NCT02552589,Gingivitis
NCT02552589,Dental Plaque
NCT02552875,Train-of-Four-Monitoring
NCT00445081,Atopic Dermatitis
NCT02547519,"Diabetes Mellitus, Type 1"
NCT02519101,Blood Pressure Stability in General Anaesthesia
NCT02541071,Intrusive Memories
NCT00447187,Corneal Diseases
NCT00447187,Cornea Transplant
NCT00447304,Acute Cholecystitis
NCT02520830,Healthy
NCT02517775,Healthy Men
NCT02515526,AOD Effects and Consequences
NCT02529358,Mental Disorders
NCT02517801,Post-menopausal Women
NCT02509728,"Infant, Premature"
NCT00449969,Cardiac Arrest
NCT00449969,Resuscitation
NCT00450684,Congenital Heart Defects
NCT02508220,Chronic Tinnitus
NCT02501577,Intubation; Difficult
NCT02503293,Primary Immunodeficiency
NCT02500394,Acute Kidney Injury
NCT00454389,Macular Degeneration
NCT02475603,Muscles Ischemia
NCT02468427,Surgery
NCT02471963,Diabetes Mellitus Type 2
NCT02480608,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
NCT02468999,Insulin Resistance
NCT02453906,Stroke
NCT02420145,"Obesity, Abdominal"
NCT00461656,Strabismus
NCT00461656,Surgery
NCT00461656,Endophthalmitis
NCT02437357,Depression
NCT02424552,Asthma
NCT02436083,Postoperative Infection
NCT02410096,Exercise-induced Asthma
NCT00466102,Breast Cancer
NCT02406014,Actinic Keratosis (AK)
NCT00111345,Myeloid Leukemia
NCT00114348,"Lymphoblastic Leukemia, Acute"
NCT00114348,"Lymphoma, Non-Hodgkin"
NCT00118573,"Aortic Aneurysm, Abdominal"
NCT00118573,Endovascular
NCT00119717,Cerebrovascular Accident
NCT02395159,Infections
NCT00469638,Atrial Fibrillation
NCT02362802,Antitachycardia Pacing
NCT02383238,Diabetes Mellitus Type 2
NCT00124813,Multiple Myeloma
NCT02372318,Alcoholism
NCT02360033,Social Anxiety Disorder
NCT00473499,Coronary Artery Disease
NCT02365350,Infertility
NCT02356016,Sarcopenic Obesity
NCT02358720,Pain
NCT02349880,Schizophrenia
NCT02349880,Schizo-affective Disorder
NCT02348736,Airway Morbidity
NCT02341898,Dementia
NCT02364219,Hypothermia
NCT02338388,Uterine Scar Remodeling
NCT02336334,Retina; Lesion
NCT02336334,Adherence
NCT02343029,Dementia
NCT02343029,Cognitive Impairment
NCT02337400,Tobacco Reduction
NCT02344030,Hypoxemia
NCT02342509,Delayed Recovery From Anesthesia
NCT02330471,Uterine Cervical Dysplasia
NCT00479609,Metabolic Syndrome
NCT00479661,Continuous Sedation in Initially Sedated Adults in ICU
NCT02329067,Lipid Metabolism Disorders
NCT00481312,Continuous Sedation in Initially Sedated Adults in ICU
NCT00491036,Myocardial Infarction
NCT00491036,"Shock, Cardiogenic"
NCT00499265,Pancreatic Cancer
NCT00502554,Bronchiolitis Obliterans
NCT00505570,Migraine
NCT00505570,Migraine With Aura
NCT00505570,Patent Foramen Ovale
NCT00505570,PFO
NCT00506688,Cystic Fibrosis
NCT00507832,Prurigo Nodularis
NCT00507988,Schizophrenia
NCT00507988,Schizoaffective Disorder
NCT00508664,Squamous Cell Carcinoma of the Hypopharynx
NCT00508664,Larynx Carcinoma
NCT00510393,Peripheral Vascular Disease
NCT00510393,Critical Limb Ischemia
NCT00150878,Acute Myeloid Leukemia
NCT00512993,Breast Cancer
NCT00151242,Acute Myeloid Leukemia
NCT00518895,Melanoma
NCT00521664,Myeloid Leukemia
NCT00522834,Melanoma
NCT00523393,Type 2 Diabetes
NCT00163267,Peripheral Vascular Diseases
NCT00528073,Crohn's Disease
NCT00528671,Mechanical Heart Valve Recipients
NCT00529503,"Lymphoma, Large B-Cell, Diffuse"
NCT00529503,"Lymphoma, Non-Hodgkin"
NCT00530738,Malnutrition
NCT00531726,Treatment Resistant Depression
NCT00533221,"Muscular Atrophy, Spinal"
NCT00534287,Severe Sepsis
NCT00534287,Septic Shock
